row_num,transect_dist_id,depth_cm,extract,fraction,replicate,soil_moist_type,p_conc_mgperkg,notes
109,4,10,H2O,Po,1,field_fresh,5.24077091,
110,4,30,H2O,Po,1,field_fresh,3.35155639,
111,4,50,H2O,Po,1,field_fresh,3.73812779,
112,4,100,H2O,Po,1,field_fresh,7.45318655,
113,5,10,H2O,Po,1,field_fresh,7.30948695,
114,5,30,H2O,Po,1,field_fresh,3.17624533,
115,5,50,H2O,Po,1,field_fresh,2.98457869,
116,5,100,H2O,Po,1,field_fresh,4.81479522,
117,6,10,H2O,Po,1,field_fresh,5.61365601,
118,6,30,H2O,Po,1,field_fresh,3.15030835,
119,6,50,H2O,Po,1,field_fresh,2.60064439,
120,6,100,H2O,Po,1,field_fresh,4.04756219,
121,1,10,NaHCO3,Po,1,field_fresh,87.61044075,
122,1,30,NaHCO3,Po,1,field_fresh,57.52441303,
123,1,50,NaHCO3,Po,1,field_fresh,57.93850915,
124,1,100,NaHCO3,Po,1,field_fresh,103.646894,
125,2,10,NaHCO3,Po,1,field_fresh,39.95807117,
126,2,30,NaHCO3,Po,1,field_fresh,86.52156129,
127,2,50,NaHCO3,Po,1,field_fresh,62.12215111,
128,2,100,NaHCO3,Po,1,field_fresh,73.00363751,
129,3,10,NaHCO3,Po,1,field_fresh,82.90017754,
130,3,30,NaHCO3,Po,1,field_fresh,47.47295507,
131,3,50,NaHCO3,Po,1,field_fresh,30.88929238,
132,3,100,NaHCO3,Po,1,field_fresh,26.04995997,
133,4,10,NaHCO3,Po,1,field_fresh,77.87345817,
134,4,30,NaHCO3,Po,1,field_fresh,30.40852957,
135,4,50,NaHCO3,Po,1,field_fresh,35.05220545,
136,4,100,NaHCO3,Po,1,field_fresh,16.6066595,
137,5,10,NaHCO3,Po,1,field_fresh,71.09289525,
138,5,30,NaHCO3,Po,1,field_fresh,36.44075801,
139,5,50,NaHCO3,Po,1,field_fresh,37.34725232,
140,5,100,NaHCO3,Po,1,field_fresh,5.83436585,
141,6,10,NaHCO3,Po,1,field_fresh,57.6014246,
142,6,30,NaHCO3,Po,1,field_fresh,28.03585071,
143,6,50,NaHCO3,Po,1,field_fresh,21.8026794,
144,6,100,NaHCO3,Po,1,field_fresh,9.82642995,
145,1,10,NaOH,Po,1,field_fresh,261.4,
146,1,30,NaOH,Po,1,field_fresh,170.5,
147,1,50,NaOH,Po,1,field_fresh,161.8,
148,1,100,NaOH,Po,1,field_fresh,308.1,
149,2,10,NaOH,Po,1,field_fresh,154.6,
150,2,30,NaOH,Po,1,field_fresh,194.3,
151,2,50,NaOH,Po,1,field_fresh,146.3,
152,2,100,NaOH,Po,1,field_fresh,148.1,
153,3,10,NaOH,Po,1,field_fresh,311.5,
154,3,30,NaOH,Po,1,field_fresh,137.9,
155,3,50,NaOH,Po,1,field_fresh,91.5,
156,3,100,NaOH,Po,1,field_fresh,84.5,
157,4,10,NaOH,Po,1,field_fresh,321.5,
158,4,30,NaOH,Po,1,field_fresh,106.2,
159,4,50,NaOH,Po,1,field_fresh,128.3,
160,4,100,NaOH,Po,1,field_fresh,87.8,
161,5,10,NaOH,Po,1,field_fresh,277.7,
162,5,30,NaOH,Po,1,field_fresh,140.2,
163,5,50,NaOH,Po,1,field_fresh,113.6,
164,5,100,NaOH,Po,1,field_fresh,17.2,
165,6,10,NaOH,Po,1,field_fresh,228.2,
166,6,30,NaOH,Po,1,field_fresh,101.1,
167,6,50,NaOH,Po,1,field_fresh,74.3,
168,6,100,NaOH,Po,1,field_fresh,23.7,
169,1,10,HCl,Po,1,field_fresh,162.4,
170,1,30,HCl,Po,1,field_fresh,103.9,
171,1,50,HCl,Po,1,field_fresh,107.3,
172,1,100,HCl,Po,1,field_fresh,68.0,
173,2,10,HCl,Po,1,field_fresh,64.6,
174,2,30,HCl,Po,1,field_fresh,173.0,
175,2,50,HCl,Po,1,field_fresh,136.0,
176,2,100,HCl,Po,1,field_fresh,60.4,
177,3,10,HCl,Po,1,field_fresh,166.6,
178,3,30,HCl,Po,1,field_fresh,138.7,
179,3,50,HCl,Po,1,field_fresh,116.4,
180,3,100,HCl,Po,1,field_fresh,95.1,
181,4,10,HCl,Po,1,field_fresh,168.7,
182,4,30,HCl,Po,1,field_fresh,104.8,
183,4,50,HCl,Po,1,field_fresh,99.1,
184,4,100,HCl,Po,1,field_fresh,72.9,
185,5,10,HCl,Po,1,field_fresh,140.0,
186,5,30,HCl,Po,1,field_fresh,107.7,
187,5,50,HCl,Po,1,field_fresh,87.9,
188,5,100,HCl,Po,1,field_fresh,81.8,
189,6,10,HCl,Po,1,field_fresh,118.9,
190,6,30,HCl,Po,1,field_fresh,89.2,
191,6,50,HCl,Po,1,field_fresh,79.8,
192,6,100,HCl,Po,1,field_fresh,39.9,
193,1,10,H2O,Pi,1,dried,1.110774,
194,1,10,H2O,Pi,2,dried,1.095927,
195,1,10,H2O,Pi,3,dried,1.043346,
196,1,30,H2O,Pi,1,dried,0.492771,
197,1,30,H2O,Pi,2,dried,0.535261,
198,1,30,H2O,Pi,3,dried,0.465278,
199,1,50,H2O,Pi,1,dried,0.563931,
200,1,50,H2O,Pi,2,dried,0.575375,
201,1,50,H2O,Pi,3,dried,0.575685,
202,1,100,H2O,Pi,1,dried,0.649608,
203,1,100,H2O,Pi,2,dried,0.644922,
204,1,100,H2O,Pi,3,dried,0.642422,
205,2,10,H2O,Pi,1,dried,0.478874,
206,2,10,H2O,Pi,2,dried,0.455058,
207,2,10,H2O,Pi,3,dried,0.452583,
208,2,30,H2O,Pi,1,dried,1.073568,
209,2,30,H2O,Pi,2,dried,1.017365,
210,2,30,H2O,Pi,3,dried,1.060134,
211,2,50,H2O,Pi,1,dried,0.857766,
