row_num,depth_cm,extract,fraction,trans_dist_m,p_conc_ppm
168,100,H2O,Po ,6,4.0
169,10,NaHCO3,Pi,6,10.0
170,30,NaHCO3,Pi,6,5.8
171,50,NaHCO3,Pi,6,4.8
172,100,NaHCO3,Pi,6,4.2
173,10,NaHCO3,Po ,6,57.6
174,30,NaHCO3,Po ,6,28.0
175,50,NaHCO3,Po ,6,21.8
176,100,NaHCO3,Po ,6,9.8
177,10,NaOH,Pi,6,65.6
178,30,NaOH,Pi,6,29.5
179,50,NaOH,Pi,6,24.1
180,100,NaOH,Pi,6,15.6
181,10,NaOH,Po ,6,228.2
182,30,NaOH,Po ,6,101.1
183,50,NaOH,Po ,6,74.3
184,100,NaOH,Po ,6,23.7
185,10,HCl,Pi,6,93.1
186,30,HCl,Pi,6,73.4
187,50,HCl,Pi,6,64.8
188,100,HCl,Pi,6,29.5
189,10,HCl,Po ,6,118.9
190,30,HCl,Po ,6,89.2
191,50,HCl,Po ,6,79.8
192,100,HCl,Po ,6,39.9
