row_num,transect_dist_id,depth_cm,extract,fraction,soil_moist_type,mean_p_conc_ppm,notes
109,4,10,NaHCO3,Pi,dried,16.54654011,
110,4,30,NaHCO3,Pi,dried,9.37300980,
111,4,50,NaHCO3,Pi,dried,5.77834052,
112,4,100,NaHCO3,Pi,dried,10.75039919,
113,5,10,NaHCO3,Pi,dried,17.57574975,
114,5,30,NaHCO3,Pi,dried,9.39469506,
115,5,50,NaHCO3,Pi,dried,12.35525652,
116,5,100,NaHCO3,Pi,dried,5.93586665,
117,6,10,NaHCO3,Pi,dried,13.56033202,
118,6,30,NaHCO3,Pi,dried,8.61495017,
119,6,50,NaHCO3,Pi,dried,6.80207988,
120,6,100,NaHCO3,Pi,dried,4.60798296,
121,1,10,NaHCO3,Pi,field_fresh,21.02116255,
122,1,30,NaHCO3,Pi,field_fresh,14.02950413,
123,1,50,NaHCO3,Pi,field_fresh,14.28361832,
124,1,100,NaHCO3,Pi,field_fresh,33.22984074,
125,2,10,NaHCO3,Pi,field_fresh,7.15847511,
126,2,30,NaHCO3,Pi,field_fresh,21.28968597,
127,2,50,NaHCO3,Pi,field_fresh,16.41548109,check
128,2,100,NaHCO3,Pi,field_fresh,16.41548109,check
129,3,10,NaHCO3,Pi,field_fresh,14.11253277,
130,3,30,NaHCO3,Pi,field_fresh,10.75075872,
131,3,50,NaHCO3,Pi,field_fresh,7.48744794,
132,3,100,NaHCO3,Pi,field_fresh,6.92102811,
133,4,10,NaHCO3,Pi,field_fresh,16.29499577,
134,4,30,NaHCO3,Pi,field_fresh,7.25822599,
135,4,50,NaHCO3,Pi,field_fresh,8.13599537,
136,4,100,NaHCO3,Pi,field_fresh,5.46530274,
137,5,10,NaHCO3,Pi,field_fresh,14.02490016,
138,5,30,NaHCO3,Pi,field_fresh,8.08383989,
139,5,50,NaHCO3,Pi,field_fresh,7.96344389,
140,5,100,NaHCO3,Pi,field_fresh,11.62461212,
141,6,10,NaHCO3,Pi,field_fresh,10.01904779,
142,6,30,NaHCO3,Pi,field_fresh,5.83644800,
143,6,50,NaHCO3,Pi,field_fresh,4.80134119,
144,6,100,NaHCO3,Pi,field_fresh,4.16512802,
145,1,10,NaHCO3,Po,dried,111.93241349,
146,1,30,NaHCO3,Po,dried,69.31894408,
147,1,50,NaHCO3,Po,dried,79.67262923,
148,1,100,NaHCO3,Po,dried,61.67572059,
149,2,10,NaHCO3,Po,dried,54.86652108,
150,2,30,NaHCO3,Po,dried,100.86668167,
151,2,50,NaHCO3,Po,dried,83.18632608,
152,2,100,NaHCO3,Po,dried,44.92760682,
153,3,10,NaHCO3,Po,dried,114.63737909,
154,3,30,NaHCO3,Po,dried,66.98267760,
155,3,50,NaHCO3,Po,dried,42.99642441,
156,3,100,NaHCO3,Po,dried,40.72091514,
157,4,10,NaHCO3,Po,dried,101.89613211,
158,4,30,NaHCO3,Po,dried,52.10472748,
159,4,50,NaHCO3,Po,dried,29.28138571,
160,4,100,NaHCO3,Po,dried,48.28850149,
161,5,10,NaHCO3,Po,dried,120.63100051,
162,5,30,NaHCO3,Po,dried,53.14889461,
163,5,50,NaHCO3,Po,dried,65.94782749,
164,5,100,NaHCO3,Po,dried,22.36608765,
165,6,10,NaHCO3,Po,dried,107.97447831,
166,6,30,NaHCO3,Po,dried,50.37990034,
167,6,50,NaHCO3,Po,dried,40.22897774,
168,6,100,NaHCO3,Po,dried,21.84988872,
169,1,10,NaHCO3,Po,field_fresh,87.61044075,
170,1,30,NaHCO3,Po,field_fresh,57.52441303,
171,1,50,NaHCO3,Po,field_fresh,57.93850915,
172,1,100,NaHCO3,Po,field_fresh,103.64689399,
173,2,10,NaHCO3,Po,field_fresh,39.95807117,
174,2,30,NaHCO3,Po,field_fresh,86.52156129,
175,2,50,NaHCO3,Po,field_fresh,62.12215111,
176,2,100,NaHCO3,Po,field_fresh,73.00363751,
177,3,10,NaHCO3,Po,field_fresh,82.90017754,
178,3,30,NaHCO3,Po,field_fresh,47.47295507,
179,3,50,NaHCO3,Po,field_fresh,30.88929238,
180,3,100,NaHCO3,Po,field_fresh,26.04995997,
181,4,10,NaHCO3,Po,field_fresh,77.87345817,
182,4,30,NaHCO3,Po,field_fresh,30.40852957,
183,4,50,NaHCO3,Po,field_fresh,35.05220545,
184,4,100,NaHCO3,Po,field_fresh,16.60665950,
185,5,10,NaHCO3,Po,field_fresh,71.09289525,
186,5,30,NaHCO3,Po,field_fresh,36.44075801,
187,5,50,NaHCO3,Po,field_fresh,37.34725232,
188,5,100,NaHCO3,Po,field_fresh,5.83436585,
189,6,10,NaHCO3,Po,field_fresh,57.60142460,
190,6,30,NaHCO3,Po,field_fresh,28.03585071,
191,6,50,NaHCO3,Po,field_fresh,21.80267940,
192,6,100,NaHCO3,Po,field_fresh,9.82642995,
193,1,10,NaOH,Pi,dried,68.92802295,
194,1,30,NaOH,Pi,dried,68.66410884,
195,1,50,NaOH,Pi,dried,81.10455828,
196,1,100,NaOH,Pi,dried,242.02686718,
197,2,10,NaOH,Pi,dried,116.03474036,
198,2,30,NaOH,Pi,dried,115.98696390,
199,2,50,NaOH,Pi,dried,84.72760984,check
200,2,100,NaOH,Pi,dried,84.72760984,check
201,3,10,NaOH,Pi,dried,47.40075537,
202,3,30,NaOH,Pi,dried,48.34051393,
203,3,50,NaOH,Pi,dried,39.91123256,
204,3,100,NaOH,Pi,dried,25.61047894,
205,4,10,NaOH,Pi,dried,75.36859155,
206,4,30,NaOH,Pi,dried,36.19950660,
207,4,50,NaOH,Pi,dried,30.41887345,
208,4,100,NaOH,Pi,dried,37.74043358,
209,5,10,NaOH,Pi,dried,65.45081938,
210,5,30,NaOH,Pi,dried,37.01394952,
211,5,50,NaOH,Pi,dried,54.29318343,
212,5,100,NaOH,Pi,dried,16.03593872,
213,6,10,NaOH,Pi,dried,65.27187106,
214,6,30,NaOH,Pi,dried,29.77500308,
215,6,50,NaOH,Pi,dried,23.91847058,
216,6,100,NaOH,Pi,dried,16.03593872,
217,1,10,NaOH,Pi,field_fresh,114.44980753,
218,1,30,NaOH,Pi,field_fresh,68.66410884,
219,1,50,NaOH,Pi,field_fresh,83.02256744,
220,1,100,NaOH,Pi,field_fresh,243.77905293,
221,2,10,NaOH,Pi,field_fresh,41.16478002,
222,2,30,NaOH,Pi,field_fresh,115.98696390,
223,2,50,NaOH,Pi,field_fresh,84.13874963,check
224,2,100,NaOH,Pi,field_fresh,84.13874963,check
225,3,10,NaOH,Pi,field_fresh,98.15727494,
226,3,30,NaOH,Pi,field_fresh,48.34051393,
227,3,50,NaOH,Pi,field_fresh,39.80648024,
228,3,100,NaOH,Pi,field_fresh,25.57561300,
229,4,10,NaOH,Pi,field_fresh,76.64495055,
230,4,30,NaOH,Pi,field_fresh,35.75648870,
231,4,50,NaOH,Pi,field_fresh,29.95952360,
232,4,100,NaOH,Pi,field_fresh,38.26814597,
233,5,10,NaOH,Pi,field_fresh,75.94981335,
234,5,30,NaOH,Pi,field_fresh,37.24914656,
235,5,50,NaOH,Pi,field_fresh,55.05932234,
236,5,100,NaOH,Pi,field_fresh,9.84190905,
237,6,10,NaOH,Pi,field_fresh,65.59579331,
238,6,30,NaOH,Pi,field_fresh,29.53396208,
239,6,50,NaOH,Pi,field_fresh,24.05834017,
240,6,100,NaOH,Pi,field_fresh,15.61016632,
241,1,10,NaOH,Po,dried,240.70000000,
242,1,30,NaOH,Po,dried,154.90000000,
243,1,50,NaOH,Po,dried,184.90000000,
244,1,100,NaOH,Po,dried,308.10000000,
245,2,10,NaOH,Po,dried,117.90000000,
246,2,30,NaOH,Po,dried,208.00000000,
247,2,50,NaOH,Po,dried,154.50000000,
248,2,100,NaOH,Po,dried,59.30000000,
249,3,10,NaOH,Po,dried,248.30000000,
250,3,30,NaOH,Po,dried,129.60000000,
251,3,50,NaOH,Po,dried,80.20000000,
252,3,100,NaOH,Po,dried,77.60000000,
253,4,10,NaOH,Po,dried,233.70000000,
254,4,30,NaOH,Po,dried,106.00000000,
255,4,50,NaOH,Po,dried,63.30000000,
256,4,100,NaOH,Po,dried,87.80000000,
257,5,10,NaOH,Po,dried,261.10000000,
258,5,30,NaOH,Po,dried,126.80000000,
259,5,50,NaOH,Po,dried,142.80000000,
260,5,100,NaOH,Po,dried,26.80000000,
261,6,10,NaOH,Po,dried,236.60000000,
262,6,30,NaOH,Po,dried,98.60000000,
263,6,50,NaOH,Po,dried,83.50000000,
264,6,100,NaOH,Po,dried,50.80000000,
265,1,10,NaOH,Po,field_fresh,261.40000000,
266,1,30,NaOH,Po,field_fresh,170.50000000,
267,1,50,NaOH,Po,field_fresh,161.80000000,
268,1,100,NaOH,Po,field_fresh,308.10000000,
269,2,10,NaOH,Po,field_fresh,154.60000000,
270,2,30,NaOH,Po,field_fresh,194.30000000,
271,2,50,NaOH,Po,field_fresh,146.30000000,
